1;0;1;0
3;1;1;0
4;1;1;0
5;0;1;0
6;1;1;0
7;0;1;0
8;1;1;0
9;0;1;0
10;1;1;0
11;2;2;1
12;2;3;1
13;3;3;1
14;3;3;1
15;3;4;2
16;4;4;2
17;3;4;2
18;3;4;2
19;3;4;2
20;3;4;2
21;2;4;3
22;3;4;3
23;4;4;3
24;4;4;2
25;4;5;3
26;5;5;3
27;5;5;3
28;6;6;3
29;5;6;4
30;6;6;4
31;6;6;4
32;6;7;4
33;6;7;5
34;6;7;5
35;7;7;5
36;7;7;4
37;6;7;5
38;6;7;5
39;6;7;5
40;5;7;6
41;5;7;5
42;5;7;6
43;4;7;6
44;3;7;6
45;4;7;6
46;5;7;6
47;6;7;6
48;5;7;6
49;6;7;6
50;6;7;6
51;6;7;6
52;6;7;6
53;6;7;6
54;6;7;6
55;6;7;6
56;6;7;7
57;6;7;7
58;6;7;7
59;6;7;7
60;6;7;7
61;6;7;7
62;6;7;7
63;5;7;7
64;6;7;7
65;7;7;7
66;8;8;7
67;9;9;7
68;9;9;7
69;9;10;8
70;9;10;8
71;9;10;7
72;9;10;8
73;9;10;8
74;10;10;8
75;9;10;8
76;10;10;8
77;9;10;9
78;9;10;8
79;9;10;9
80;10;10;9
81;10;11;9
82;9;11;9
83;10;11;9
84;9;11;9
85;10;11;9
86;10;11;9
87;9;11;10
88;10;11;10
89;9;11;10
90;9;11;10
91;10;11;10
92;9;11;10
93;9;11;10
94;9;11;10
95;9;11;10
96;9;11;10
97;9;11;11
98;10;11;10
99;9;11;11
100;9;11;10
101;9;11;11
102;9;11;11
103;10;11;11
104;9;11;11
105;9;11;11
106;9;11;11
107;8;11;11
108;7;11;11
109;7;11;11
110;6;11;11
111;6;11;11
112;6;11;11
113;5;11;11
114;6;11;11
115;6;11;11
116;6;11;11
117;6;11;11
118;7;11;11
119;8;11;11
120;8;11;11
121;8;11;11
122;8;11;11
123;8;11;11
124;9;11;11
125;9;11;11
126;8;11;12
127;9;11;12
128;9;11;12
129;8;11;12
130;7;11;12
131;7;11;12
132;7;11;12
133;7;11;11
134;7;11;12
135;7;11;12
136;6;11;12
137;7;11;12
138;7;11;12
139;7;11;12
140;6;11;12
141;6;11;12
142;6;11;12
143;6;11;12
144;6;11;12
145;6;11;12
146;6;11;12
147;6;11;12
148;5;11;12
149;5;11;12
150;5;11;12
151;5;11;12
152;6;11;12
153;5;11;12
154;4;11;12
155;4;11;12
156;4;11;12
157;3;11;12
158;4;11;12
159;4;11;12
160;3;11;12
161;3;11;12
162;4;11;12
163;3;11;12
164;3;11;12
165;3;11;12
166;2;11;12
167;1;11;12
168;2;11;12
169;2;11;11
170;2;11;11
171;2;11;11
172;2;11;11
173;2;11;11
174;2;11;11
175;3;11;11
176;3;11;11
177;2;11;11
178;3;11;11
179;3;11;11
180;3;11;11
181;3;11;11
182;4;11;11
183;4;11;11
184;5;11;11
185;5;11;11
186;5;11;11
187;5;11;11
188;5;11;11
189;5;11;11
190;5;11;11
191;5;11;11
192;5;11;11
193;5;11;11
194;5;11;11
195;4;11;11
196;5;11;11
197;4;11;11
198;5;11;11
199;5;11;11
200;4;11;11
201;5;11;11
202;4;11;11
203;5;11;11
204;5;11;11
